SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,209 Gellert Dr,San Francisco,CA,94132,678000,0,,San Francisco,,5258,,14,,,Active,,,http://www.redfin.com/CA/San-Francisco/209-Gellert-Dr-94132/home/176159691,San Francisco MLS,421585653,N,Y,37.7298896,-122.4928994
MLS Listing,,Condo/Co-op,711 Central Ave,San Francisco,CA,94117,1195000,3,1.5,San Francisco,,1856,,14,,300,Active,September-5-2021 11:00 AM,September-5-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/711-Central-Ave-94117/home/1705795,San Francisco MLS,421580490,N,Y,37.776197,-122.445057
MLS Listing,,Single Family Residential,22 Modoc Ave,San Francisco,CA,94112,998000,2,1.5,San Francisco,1214,2687,,14,822,,Active,,,http://www.redfin.com/CA/San-Francisco/22-Modoc-Ave-94112/home/827951,San Francisco MLS,421586719,N,Y,37.7152065,-122.4490682
MLS Listing,,Condo/Co-op,83 Mcallister St #508,San Francisco,CA,94102,685000,2,1.0,San Francisco,,7498,2007,14,,522,Active,September-5-2021 10:30 AM,September-5-2021 12:30 PM,http://www.redfin.com/CA/San-Francisco/83-McAllister-St-94102/unit-508/home/23423720,San Francisco MLS,421586595,N,Y,37.7806658,-122.413234
MLS Listing,,Condo/Co-op,2179 Ofarrell St,San Francisco,CA,94115,1399000,3,2.5,San Francisco,,,,14,,200,Active,,,http://www.redfin.com/CA/San-Francisco/2179-O-Farrell-St-94115/home/176159690,San Francisco MLS,421578782,N,Y,37.7821665,-122.4405471
MLS Listing,,Condo/Co-op,2177 Ofarrell St,San Francisco,CA,94115,1549000,3,2.5,San Francisco,,,,14,,225,Active,,,http://www.redfin.com/CA/San-Francisco/2177-O-Farrell-St-94115/home/1452061,San Francisco MLS,421578778,N,Y,37.7821004,-122.4405383
MLS Listing,,Condo/Co-op,765 Market St Unit 34A,San Francisco,CA,94103,9900000,4,4.5,San Francisco,4550,,,14,2176,3939,Active,,,http://www.redfin.com/CA/San-Francisco/765-Market-St-94103/unit-34A/home/1537008,San Francisco MLS,421587017,N,Y,37.786097,-122.4041629
MLS Listing,,Condo/Co-op,1750 Taylor St #1401,San Francisco,CA,94133,7995000,2,2.5,San Francisco,3640,,1961,15,2196,4490,Active,,,http://www.redfin.com/CA/San-Francisco/1750-Taylor-St-94133/unit-1401/home/12400389,San Francisco MLS,421585752,N,Y,37.7986997,-122.4137602
MLS Listing,,Condo/Co-op,1180 Eddy St Unit B,San Francisco,CA,94109,849999,2,2.0,San Francisco,816,2575,1992,15,1042,398,Active,,,http://www.redfin.com/CA/San-Francisco/1180-Eddy-St-94109/unit-B/home/1926432,San Francisco MLS,421586991,N,Y,37.7822647,-122.4270935
MLS Listing,,Condo/Co-op,1945 Washington St #204,San Francisco,CA,94109,1295000,2,2.0,San Francisco,937,17557,1987,15,1382,616,Active,September-4-2021 11:00 AM,September-4-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/1945-Washington-St-94109/unit-204/home/1153418,San Francisco MLS,421585984,N,Y,37.7925414,-122.4254555
MLS Listing,,Condo/Co-op,53 Wilder St #204,San Francisco,CA,94131,1195000,2,2.0,San Francisco,1301,15674,2006,15,919,730,Active,,,http://www.redfin.com/CA/San-Francisco/53-Wilder-St-94131/unit-204/home/17304563,San Francisco MLS,421586591,N,Y,37.7339289,-122.4334952
MLS Listing,,Condo/Co-op,3653 Buchanan St #1,SAN FRANCISCO,CA,94123,2350000,3,2.0,SAN FRANCISCO,1678,,2006,15,1400,350,Active,,,http://www.redfin.com/CA/San-Francisco/3653-Buchanan-St-94123/unit-1/home/12402116,MLSListings,ML81859214,N,Y,37.8037387,-122.4337406
MLS Listing,,Condo/Co-op,946 De Haro St Unit A,San Francisco,CA,94107,1330000,3,2.0,San Francisco,1834,2500,1906,15,725,400,Active,September-5-2021 02:00 PM,September-5-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/946-De-Haro-St-94107/unit-A/home/176157166,San Francisco MLS,421586905,N,Y,37.757994,-122.4011759
MLS Listing,,Condo/Co-op,1200 Gough St Unit 13C,San Francisco,CA,94109,960000,1,1.0,San Francisco,840,44676,1966,15,1143,831,Active,September-5-2021 02:00 PM,September-5-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1200-Gough-St-94109/unit-13C/home/1260518,San Francisco MLS,421579203,N,Y,37.7849434,-122.4242824
MLS Listing,,Single Family Residential,1670 Newcomb Ave,San Francisco,CA,94124,850000,2,1.0,San Francisco,1041,2495,1936,15,817,,Active,,,http://www.redfin.com/CA/San-Francisco/1670-Newcomb-Ave-94124/home/1293140,San Francisco MLS,421586782,N,Y,37.7362345,-122.3909912
MLS Listing,,Condo/Co-op,1945 Hyde St #2,San Francisco,CA,94109,3800000,2,2.0,San Francisco,,6686,1920,15,,1382,Active,,,http://www.redfin.com/CA/San-Francisco/1945-Hyde-St-94109/unit-2/home/51589310,San Francisco MLS,421585854,N,Y,37.7988384,-122.4192514
MLS Listing,,Single Family Residential,425 Morse St,San Francisco,CA,94112,998000,4,2.0,San Francisco,1156,1875,1929,15,863,,Active,September-4-2021 02:00 PM,September-4-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/425-Morse-St-94112/home/796142,San Francisco MLS,421586783,N,Y,37.7121134,-122.4420305
